Size of Seed Set,Running Time[s]
1,1578557892.8218937
2,1578558134.9933977
3,1578558326.6147587
4,1578558481.3256571
5,1578558606.3036127
6,1578558720.8092651
7,1578558827.878794
8,1578558903.1677456
9,1578558966.8963802
10,1578559041.7613955
11,1578559112.4619353
12,1578559184.3516295
13,1578559245.6003847
14,1578559287.3059957
15,1578559348.3165846
16,1578559407.2555678
17,1578559452.0313344
18,1578559502.7549572
19,1578559555.64111
20,1578559607.7182617
21,1578559656.9525304
22,1578559706.7084951
23,1578559751.1790998
24,1578559798.4111679
25,1578559843.8431158
26,1578559885.982157
27,1578559930.7334528
28,1578559971.3924499
29,1578560014.2608612
30,1578560056.0409203
31,1578560097.2773318
32,1578560138.8336618
33,1578560177.7207136
34,1578560217.010783
35,1578560257.287413
36,1578560296.985742
37,1578560333.843878
38,1578560371.6118302
39,1578560407.2970207
40,1578560441.9171126
41,1578560480.854004
42,1578560518.5055397
43,1578560555.261647
44,1578560592.7604103
45,1578560628.2006738
46,1578560664.8100684
47,1578560701.2035263
48,1578560735.7946732
49,1578560771.6824844
50,1578560806.998017
